,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
44,Arabidopsis thaliana Cell Cycle,E2Fe,1101110111001101110111011100110011111111111111111111111111111111,6,0.828125,4,0.0011894702911376953,,0.007922172546386719,,,1.665364583333333,"[[('022210', [], [[0, 5], [1, 2, 3]]), ('021012', [], [[0, 3], [1, 5], [2, 4]]), ('011212', [], [[1, 2, 4], [3, 5]])], [('202121', [], [[0, 2, 4], [3, 5]]), ('220221', [], [[0, 1, 3, 4]]), ('122222', [], [[1, 2, 3, 4, 5]]), ('222202', [], [[0, 1, 2, 3, 5]])]]",True,False,,0.27756076388888884,cc,v0.1.2
45,Arabidopsis thaliana Cell Cycle,RBR,01110000010100000111011101010101,5,0.46875,4,0.00023984909057617188,,0.004673957824707031,,,2.140625,"[[('21220', [[0, 4], [1, 2]], [[1, 2, 3]]), ('22200', [], [[0, 1, 2], [3, 4]])], [('10212', [], [[0, 3], [2, 4]]), ('22021', [], [[0, 1, 3]]), ('12221', [], [[0, 4], [1, 2, 3]]), ('20012', [], [[0, 4], [1, 2]])]]",False,False,,0.428125,cc,v0.1.2
46,Arabidopsis thaliana Cell Cycle,CYCD3;1,10,1,0.5,1,3.2901763916015625e-05,,0.0008294582366943359,,,0.0,"[[('1', [], [])], [('0', [], [])]]",True,False,,0.0,cc,v0.1.2
47,Arabidopsis thaliana Cell Cycle,E2Fa,1110000011101110,4,0.5625,4,0.00010132789611816406,,0.0034418106079101562,,,2.0,"[[('0122', [], [[2, 3]]), ('2211', [], [[0, 1], [2, 3]])], [('2020', [[2, 3]], []), ('1220', [[2, 3]], [])]]",True,False,,0.5,cc,v0.1.2
48,Arabidopsis thaliana Cell Cycle,SCF,0111000001110000001100000111000001110000011100000011000000110000,6,0.328125,4,0.0009329319000244141,,0.007863759994506836,,,1.87109375,"[[('210202', [], [[0, 3, 5], [2, 4]]), ('222122', [], [[0, 1, 2, 4, 5]]), ('112202', [], [[0, 1], [2, 3, 5]]), ('222200', [], [[0, 1, 2, 3], [4, 5]])], [('202021', [], [[0, 2, 4], [1, 3]]), ('222012', [], [[0, 1, 2, 5]]), ('021021', [], [[0, 3], [1, 4], [2, 5]])]]",True,False,,0.3118489583333333,cc,v0.1.2
49,Arabidopsis thaliana Cell Cycle,E2Fc,0101111101001100010101010100010001011111010111110101010101010101,6,0.546875,6,0.000728607177734375,,0.015535116195678711,,,2.2630208333333335,"[[('212220', [], [[0, 2, 3, 4]]), ('021212', [], [[1, 3, 5], [2, 4]]), ('222020', [], [[0, 1, 2, 4], [3, 5]])], [('202102', [[2, 4]], []), ('222201', [[2, 4]], [[0, 1]]), ('122221', [], [[0, 5], [1, 2, 3, 4]]), ('102122', [], [[0, 3], [2, 4, 5]])]]",True,False,,0.3771701388888889,cc,v0.1.2
50,Arabidopsis thaliana Cell Cycle,APC/C,01110101000000001111111100000000,5,0.40625,3,0.0002865791320800781,,0.002835988998413086,,,1.7708333333333335,"[[('02120', [], [[0, 4], [1, 3]]), ('21222', [], [[0, 2, 3, 4]]), ('02200', [], [[0, 3, 4], [1, 2]])], [('10222', [[0, 4]], []), ('20012', [], [[0, 4], [1, 2]])]]",True,False,,0.3541666666666667,cc,v0.1.2
51,Arabidopsis thaliana Cell Cycle,MYB3R1/4,0001000011111111,4,0.5625,3,0.0001647472381591797,,0.0030350685119628906,,,1.625,"[[('0202', [[2, 3]], []), ('0122', [], [[2, 3]])], [('2011', [], [[2, 3]]), ('1222', [], [[1, 2, 3]])]]",True,False,,0.40625,cc,v0.1.2
52,Arabidopsis thaliana Cell Cycle,CYCA2;3,01001100,3,0.375,2,8.153915405273438e-05,,0.0012888908386230469,,,1.5625,"[[('212', [], [[0, 2]]), ('020', [], [[0, 2]])], [('102', [[0, 2]], [])]]",True,False,,0.5208333333333334,cc,v0.1.2
53,Arabidopsis thaliana Cell Cycle,E2Fb,0100,2,0.25,2,4.9591064453125e-05,,0.0008456707000732422,,,1.25,"[[('12', [], []), ('20', [], [])], [('01', [], [])]]",True,False,,0.625,cc,v0.1.2
54,Arabidopsis thaliana Cell Cycle,CDKB1;1,01110011011100110011001101110011011100110111001100110011001100111111111111111111111111111111111111111111111111111111111111111111,7,0.7890625,4,0.0030422210693359375,,0.007386684417724609,,,1.699869791666667,"[[('0222102', [], [[0, 5], [1, 2, 3, 6]]), ('0112202', [], [[0, 5], [1, 2], [3, 4, 6]]), ('0222200', [], [[0, 5, 6], [1, 2, 3, 4]]), ('0210202', [], [[0, 3, 5], [1, 4, 6]])], [('2222212', [[0, 5]], [[0, 1]]), ('2021021', [], [[0, 2, 5], [1, 4], [3, 6]]), ('2202021', [], [[0, 1, 3, 5], [2, 4]])]]",True,False,,0.2428385416666667,cc,v0.1.2
55,Aurora Kinase A in Neuroblastoma,PP2A,0100,2,0.25,2,5.125999450683594e-05,,0.0008313655853271484,,,1.25,"[[('12', [], []), ('20', [], [])], [('01', [], [])]]",True,False,,0.625,cc,v0.1.2
