,func,k,numPI,time_PI,ks,time_sym,time_ks,time_cov
86,01,1,1,2.3603439331054688e-05,0.0,0.00025725364685058594,4.5299530029296875e-06,1.52587890625e-05
87,0011011111111111,4,3,0.00013518333435058594,1.6875,0.0008111000061035156,1.2159347534179688e-05,0.0007395744323730469
88,0111,2,2,5.3882598876953125e-05,1.5,0.0004355907440185547,2.288818359375e-05,0.00019288063049316406
89,00000001,3,3,7.2479248046875e-05,2.625,0.0006918907165527344,2.5987625122070312e-05,0.0008664131164550781
90,00000001,3,3,7.414817810058594e-05,2.625,0.0006945133209228516,2.5987625122070312e-05,0.0008494853973388672
91,00110111000001010000010100000101,5,6,0.00023436546325683594,2.15625,0.004698753356933594,0.000102996826171875,0.008733034133911133
92,01,1,1,3.790855407714844e-05,0.0,0.00024080276489257812,2.1696090698242188e-05,3.170967102050781e-05
93,0001,2,2,5.435943603515625e-05,1.5,0.0004477500915527344,5.245208740234375e-06,0.00019311904907226562
94,0001,2,2,4.124641418457031e-05,1.5,0.00047206878662109375,5.4836273193359375e-06,0.00019669532775878906
95,00000111,3,2,7.319450378417969e-05,0.75,0.00047969818115234375,2.6226043701171875e-05,0.00022840499877929688
96,0111,2,2,6.031990051269531e-05,1.5,0.0004429817199707031,2.4080276489257812e-05,0.00021409988403320312
97,0010,2,2,5.7220458984375e-05,0.0,0.0002505779266357422,2.384185791015625e-05,5.6743621826171875e-05
98,01001111000011111111111111111111,5,3,0.0003199577331542969,1.6875,0.0010471343994140625,7.700920104980469e-05,0.0039675235748291016
99,01,1,1,2.574920654296875e-05,0.0,0.0004730224609375,6.198883056640625e-06,1.9788742065429688e-05
100,01,1,1,1.5735626220703125e-05,0.0,0.00021839141845703125,4.291534423828125e-06,1.2874603271484375e-05
101,0111,2,2,5.9604644775390625e-05,1.5,0.00044727325439453125,5.7220458984375e-06,0.00019884109497070312
102,01,1,1,3.24249267578125e-05,0.0,0.000232696533203125,4.0531158447265625e-06,3.0279159545898438e-05
103,01,1,1,3.24249267578125e-05,0.0,0.00026106834411621094,4.0531158447265625e-06,3.0994415283203125e-05
104,00100000,3,3,7.700920104980469e-05,1.125,0.0005526542663574219,8.106231689453125e-06,0.00042176246643066406
105,0100,2,2,4.38690185546875e-05,0.0,0.00026488304138183594,2.3603439331054688e-05,5.698204040527344e-05
106,00010011,3,2,7.271766662597656e-05,0.75,0.0004792213439941406,2.5987625122070312e-05,0.00021719932556152344
107,0000000000001000111111111111111100001000000010001111111111111111100010001000100011111111111111111000100010001000111111111111111110001000100010001111111111111111100010001000100011111111111111111000100010001000111111111111111110001000100010001111111111111111,8,5,0.018247127532958984,1.015625,0.0037169456481933594,0.0004527568817138672,0.0363006591796875
108,01,1,1,5.7697296142578125e-05,0.0,0.0002579689025878906,2.2172927856445312e-05,3.170967102050781e-05
109,0111,2,2,5.698204040527344e-05,1.5,0.0004532337188720703,2.384185791015625e-05,0.00021529197692871094
110,01,1,1,5.1021575927734375e-05,0.0,0.0002338886260986328,4.0531158447265625e-06,3.075599670410156e-05
111,00000111,3,2,9.226799011230469e-05,0.75,0.00044989585876464844,2.5987625122070312e-05,0.0002288818359375
112,01,1,1,3.314018249511719e-05,0.0,0.0002353191375732422,2.2172927856445312e-05,3.075599670410156e-05
113,01,1,1,3.314018249511719e-05,0.0,0.0002498626708984375,2.2411346435546875e-05,3.075599670410156e-05
114,0111,2,2,2.3365020751953125e-05,1.5,0.0003802776336669922,5.245208740234375e-06,0.0001747608184814453
115,0111,2,2,6.008148193359375e-05,1.5,0.00044155120849609375,2.384185791015625e-05,0.00021219253540039062
116,0111000011110000111100001111000000000000000000000000000000000000,6,4,0.0010154247283935547,2.390625,0.004570484161376953,8.630752563476562e-05,0.0125274658203125
117,0001,2,2,6.4849853515625e-05,1.5,0.0004622936248779297,2.384185791015625e-05,0.00021886825561523438
118,0111,2,2,4.100799560546875e-05,1.5,0.0004506111145019531,2.384185791015625e-05,0.00021839141845703125
119,00010011,3,2,9.107589721679688e-05,0.75,0.0004799365997314453,2.5987625122070312e-05,0.0002307891845703125
120,01,1,1,3.3855438232421875e-05,0.0,0.00021147727966308594,4.5299530029296875e-06,1.3589859008789062e-05
121,0111,2,2,9.441375732421875e-05,1.5,0.0008420944213867188,3.170967102050781e-05,0.0003750324249267578
122,01111111,3,3,8.177757263183594e-05,2.625,0.0013632774353027344,1.5497207641601562e-05,0.00197601318359375
123,0000000000000000000000000000000000000000000000000000001100000111,6,5,0.002752542495727539,2.5546875,0.006119728088378906,4.315376281738281e-05,0.019556760787963867
124,0001111100010001,4,4,0.00010085105895996094,1.125,0.0009577274322509766,3.0517578125e-05,0.0008020401000976562
125,0111,2,2,2.4557113647460938e-05,1.5,0.0004143714904785156,2.4080276489257812e-05,0.00018262863159179688
126,00000111000000000000000000000000,5,4,0.00032210350036621094,1.1875,0.0011098384857177734,4.124641418457031e-05,0.0014584064483642578
127,0111,2,2,2.3126602172851562e-05,1.5,0.0003714561462402344,6.4373016357421875e-06,0.00020694732666015625
128,00111111011111111111111111111111,5,4,0.0008327960968017578,2.484375,0.002802133560180664,2.1696090698242188e-05,0.0035572052001953125
129,0001000001010000,4,3,0.00011801719665527344,0.375,0.0005495548248291016,3.0040740966796875e-05,0.0002338886260986328
