,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
43,Arabidopsis thaliana Cell Cycle,CYCB1;1,0111000000110000011100000011000000110000001100000111000000110000011100000011000001110000001100000011000000110000001100000011000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000,8,0.39453125,5,0.005310535430908203,0.6875,0.0002887248992919922,7.104873657226562e-05,0.0037338733673095703,1.892252604166667,"[[['22222122', [], [[0, 1, 2, 3, 4, 6, 7]]], ['02221202', [], [[0, 6], [1, 2, 3, 5, 7]]], ['02222200', [], [[0, 6, 7], [1, 2, 3, 4, 5]]], ['02102202', [], [[0, 3, 6], [1, 4, 5, 7]]], ['01122202', [], [[0, 6], [1, 2], [3, 4, 5, 7]]]], [['12222022', [[0, 6]], [[1, 2, 3, 4, 6, 7]]], ['20210021', [], [[1, 4, 5], [3, 7], [0, 2, 6]]], ['22020021', [], [[2, 4, 5], [0, 1, 3, 6]]]]]",1.0,False,0.0859375,0.23653157552083337,cc,
44,Arabidopsis thaliana Cell Cycle,E2Fe,1101110111001101110111011100110011111111111111111111111111111111,6,0.828125,4,0.0005376338958740234,0.0,0.00014829635620117188,2.384185791015625e-05,0.00017118453979492188,1.665364583333333,"[[['021012', [], [[0, 3], [2, 4], [1, 5]]], ['011212', [], [[1, 2, 4], [3, 5]]], ['022210', [], [[0, 5], [1, 2, 3]]]], [['202121', [], [[3, 5], [0, 2, 4]]], ['220221', [], [[0, 1, 3, 4]]], ['222202', [], [[0, 1, 2, 3, 5]]], ['122222', [], [[1, 2, 3, 4, 5]]]]]",1.0,False,0.0,0.27756076388888884,cc,
45,Arabidopsis thaliana Cell Cycle,RBR,01110000010100000111011101010101,5,0.46875,4,0.00013589859008789062,0.0,0.00018835067749023438,1.3828277587890625e-05,0.000102996826171875,2.140625,"[[['21220', [], [[0, 2, 3]]], ['02122', [], [[1, 3, 4]]], ['22200', [], [[3, 4], [0, 1, 2]]]], [['22021', [], [[0, 1, 3]]], ['20012', [], [[1, 2], [0, 4]]], ['10212', [], [[0, 3], [2, 4]]], ['12221', [], [[0, 4], [1, 2, 3]]]]]",1.0,False,0.0,0.428125,cc,
46,Arabidopsis thaliana Cell Cycle,CYCD3;1,10,1,0.5,1,1.3113021850585938e-05,0.0,0.00010371208190917969,6.4373016357421875e-06,1.5735626220703125e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",1.0,False,0.0,1.0,cc,
47,Arabidopsis thaliana Cell Cycle,E2Fa,1110000011101110,4,0.5625,4,5.435943603515625e-05,1.125,0.00017213821411132812,9.775161743164062e-06,0.0003864765167236328,2.0,"[[['2211', [], [[2, 3], [0, 1]]], ['0122', [], [[2, 3]]]], [['2002', [[2, 3]], [[1, 2], [0, 3]]], ['1202', [[2, 3]], [[1, 3]]]]]",1.0,False,0.28125,0.5,cc,
48,Arabidopsis thaliana Cell Cycle,SCF,0111000001110000001100000111000001110000011100000011000000110000,6,0.328125,4,0.0004553794860839844,0.0,0.00015306472778320312,2.8133392333984375e-05,0.0002961158752441406,1.87109375,"[[['222122', [], [[0, 1, 2, 4, 5]]], ['112202', [], [[0, 1], [2, 3, 5]]], ['210202', [], [[2, 4], [0, 3, 5]]], ['222200', [], [[4, 5], [0, 1, 2, 3]]]], [['202021', [], [[1, 3], [0, 2, 4]]], ['222012', [], [[0, 1, 2, 5]]], ['021021', [], [[0, 3], [2, 5], [1, 4]]]]]",1.0,False,0.0,0.3118489583333333,cc,
49,Arabidopsis thaliana Cell Cycle,E2Fc,0101111101001100010101010100010001011111010111110101010101010101,6,0.546875,6,0.00041031837463378906,0.703125,0.0002727508544921875,2.5987625122070312e-05,0.00179290771484375,2.263020833333333,"[[['212220', [], [[0, 2, 3, 4]]], ['021212', [], [[2, 4], [1, 3, 5]]], ['222020', [], [[3, 5], [0, 1, 2, 4]]]], [['102122', [], [[0, 3], [2, 4, 5]]], ['220221', [[2, 4]], [[0, 1, 3, 4]]], ['122221', [], [[0, 5], [1, 2, 3, 4]]], ['200122', [[2, 4]], [[1, 2], [0, 4, 5]]]]]",1.0,False,0.1171875,0.37717013888888884,cc,
50,Arabidopsis thaliana Cell Cycle,APC/C,01110101000000001111111100000000,5,0.40625,3,0.00014853477478027344,0.65625,0.00016880035400390625,1.3828277587890625e-05,0.0004222393035888672,1.7708333333333335,"[[['21222', [], [[0, 2, 3, 4]]], ['02120', [], [[0, 4], [1, 3]]], ['02200', [], [[0, 3, 4], [1, 2]]]], [['20012', [], [[1, 2], [0, 4]]], ['10222', [[0, 4]], [[2, 3, 4]]]]]",1.0,False,0.13125,0.3541666666666667,cc,
51,Arabidopsis thaliana Cell Cycle,MYB3R1/4,0001000011111111,4,0.5625,3,6.508827209472656e-05,0.5625,0.00017952919006347656,1.2874603271484375e-05,0.0002484321594238281,1.625,"[[['0122', [], [[2, 3]]], ['0202', [[2, 3]], [[0, 2], [1, 3]]]], [['1222', [], [[1, 2, 3]]], ['2011', [], [[2, 3]]]]]",1.0,False,0.140625,0.40625,cc,
52,Arabidopsis thaliana Cell Cycle,CYCA2;3,01001100,3,0.375,2,2.8848648071289062e-05,0.75,0.0001590251922607422,7.867813110351562e-06,0.000141143798828125,1.5625,"[[['212', [], [[0, 2]]], ['020', [], [[0, 2]]]], [['102', [[0, 2]], []]]]",1.0,False,0.25,0.5208333333333334,cc,
