,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
59,Aurora Kinase A in Neuroblastoma,SpindleAssembly,0010,2,0.25,2,7.677078247070312e-05,0.0,0.00016164779663085938,2.3603439331054688e-05,5.841255187988281e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
60,Aurora Kinase A in Neuroblastoma,WEE1,10,1,0.5,1,1.5020370483398438e-05,0.0,0.0001766681671142578,2.2411346435546875e-05,3.123283386230469e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,0.0,1.0,cc,new
61,Aurora Kinase A in Neuroblastoma,BORA,01010100,3,0.375,2,8.726119995117188e-05,0.75,0.000244140625,8.821487426757812e-06,0.00024437904357910156,1.5625,"[[['112', [], []], ['220', [], []]], [['021', [[0, 1]], []]]]",True,False,0.25,0.5208333333333334,cc,new
62,Aurora Kinase A in Neuroblastoma,AURKAPresent,10,1,0.5,1,2.3126602172851562e-05,0.0,0.00016379356384277344,4.76837158203125e-06,1.52587890625e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,0.0,1.0,cc,new
63,Aurora Kinase A in Neuroblastoma,GWL_MASTL,0100,2,0.25,2,4.863739013671875e-05,0.0,0.00017404556274414062,5.245208740234375e-06,2.193450927734375e-05,1.25,"[[['12', [], []], ['20', [], []]], [['01', [], []]]]",True,False,0.0,0.625,cc,new
64,Aurora Kinase A in Neuroblastoma,AJUBA,01,1,0.5,1,3.218650817871094e-05,0.0,0.0001742839813232422,2.1696090698242188e-05,3.0994415283203125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
65,Aurora Kinase A in Neuroblastoma,GSK3B,01,1,0.5,1,3.314018249511719e-05,0.0,0.00017714500427246094,2.2172927856445312e-05,3.123283386230469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
66,Aurora Kinase A in Neuroblastoma,MTCanAct,01,1,0.5,1,3.218650817871094e-05,0.0,0.0001900196075439453,2.2649765014648438e-05,3.075599670410156e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
67,Aurora Kinase A in Neuroblastoma,STMNCanAct,01,1,0.5,1,1.4066696166992188e-05,0.0,0.0001850128173828125,1.7642974853515625e-05,1.2159347534179688e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
68,B bronchiseptica and T retortaeformis coinfection,NE_Bacterium,01,1,0.5,1,1.4543533325195312e-05,0.0,0.00016021728515625,4.0531158447265625e-06,3.147125244140625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
