,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,time_sym_std,ks_norm,ke_norm,source,version
33,Apoptosis Network,RIP,01,1,0.5,1,2.6941299438476562e-05,0.0,0.0001804828643798828,8.821487426757812e-06,4.839897155761719e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.0321073924023324e-05,0.0,1.0,cc,new
34,Apoptosis Network,BID,0000001000100010,4,0.1875,3,0.00013828277587890625,0.375,0.000319671630859375,1.9311904907226562e-05,0.0003731250762939453,1.5208333333333335,"[[['2221', [], []], ['2202', [], []], ['0022', [], []]], [['1210', [[0, 1]], []]]]",True,False,1.5910506208727867e-05,0.09375,0.38020833333333337,cc,new
35,Apoptosis Network,Cas9,0000100010001000,4,0.1875,3,0.0001418590545654297,1.6875,0.00032787322998046876,2.09808349609375e-05,0.0012047290802001953,1.5208333333333335,"[[['2212', [[2, 3]], []], ['0022', [], []]], [['1200', [[0, 1]], []]]]",True,False,1.6360726930023326e-05,0.421875,0.38020833333333337,cc,new
36,Apoptosis Network,BclX,00100000,3,0.125,3,6.890296936035156e-05,1.125,0.0003154754638671875,1.5020370483398438e-05,0.0005657672882080078,1.25,"[[['122', [[0, 2]], []], ['202', [], []]], [['010', [], []]]]",True,False,1.8525230991636456e-05,0.375,0.4166666666666667,cc,new
37,Apoptosis Network,DNADamageEvent,01,1,0.5,1,2.6702880859375e-05,0.0,0.00018973350524902343,8.821487426757812e-06,4.6253204345703125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.3246635810142887e-05,0.0,1.0,cc,new
38,Apoptosis Network,BAD,0010,2,0.25,2,4.1961669921875e-05,0.0,0.00020613670349121094,1.049041748046875e-05,5.5789947509765625e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,9.977867383843784e-06,0.0,0.625,cc,new
39,Apoptosis Network,TNF,01,1,0.5,1,3.0279159545898438e-05,0.0,0.00017757415771484374,1.0251998901367188e-05,5.888938903808594e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.1475242498361131e-05,0.0,1.0,cc,new
40,Apoptosis Network,GF,01,1,0.5,1,2.86102294921875e-05,0.0,0.00018830299377441405,9.059906005859375e-06,4.696846008300781e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.2981360707491223e-05,0.0,1.0,cc,new
41,Arabidopsis thaliana Cell Cycle,MYB77,0101000101010000,4,0.3125,3,0.00012969970703125,0.0,0.00024785995483398435,1.811981201171875e-05,0.0001232624053955078,1.6979166666666665,"[[['2220', [], []], ['1122', [], []], ['2102', [], []]], [['0211', [], []], ['2021', [], []]]]",True,False,1.3606663403142084e-05,0.0,0.42447916666666663,cc,new
42,Arabidopsis thaliana Cell Cycle,KRP1,00001111000011101111111111101110,5,0.65625,6,0.00028777122497558594,3.28125,0.002186298370361328,3.0279159545898438e-05,0.008843183517456055,2.109375,"[[['02022', [], []], ['21211', [], []]], [['10222', [[0, 2], [1, 3, 4]], []]]]",True,False,0.0005920352049117203,0.65625,0.421875,cc,new
43,Arabidopsis thaliana Cell Cycle,CYCB1;1,0111000000110000011100000011000000110000001100000111000000110000011100000011000001110000001100000011000000110000001100000011000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000,8,0.39453125,5,0.010567665100097656,0.6875,0.00035686492919921874,0.0001552104949951172,0.00742340087890625,1.892252604166667,"[[['02102202', [], []], ['02221202', [], []], ['22222122', [], []], ['01122202', [], []], ['02222200', [], []]], [['22020021', [], []], ['20210021', [], []], ['12222022', [[0, 6]], []]]]",True,False,5.773637567327165e-05,0.0859375,0.23653157552083337,cc,new
44,Arabidopsis thaliana Cell Cycle,E2Fe,1101110111001101110111011100110011111111111111111111111111111111,6,0.828125,4,0.0010137557983398438,0.0,0.00024271011352539062,4.887580871582031e-05,0.0004951953887939453,1.665364583333333,"[[['022210', [], []], ['021012', [], []], ['011212', [], []]], [['122222', [], []], ['202121', [], []], ['220221', [], []], ['222202', [], []]]]",True,False,2.956544195296193e-05,0.0,0.27756076388888884,cc,new
45,Arabidopsis thaliana Cell Cycle,RBR,01110000010100000111011101010101,5,0.46875,4,0.0002677440643310547,0.0,0.0003082752227783203,2.6941299438476562e-05,0.00021767616271972656,2.140625,"[[['22200', [], []], ['02122', [], []], ['21220', [], []]], [['10212', [], []], ['12221', [], []], ['22021', [], []], ['20012', [], []]]]",True,False,1.4513406661794128e-05,0.0,0.428125,cc,new
46,Arabidopsis thaliana Cell Cycle,CYCD3;1,10,1,0.5,1,3.0994415283203125e-05,0.0,0.00018067359924316405,8.58306884765625e-06,4.482269287109375e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,1.3488171583619023e-05,0.0,1.0,cc,new
47,Arabidopsis thaliana Cell Cycle,E2Fa,1110000011101110,4,0.5625,4,0.0001227855682373047,1.125,0.00031538009643554686,2.0503997802734375e-05,0.0012004375457763672,2.0,"[[['2211', [], []], ['0122', [], []]], [['2002', [[2, 3]], []], ['1202', [[2, 3]], []]]]",True,False,4.041779315519914e-05,0.28125,0.5,cc,new
48,Arabidopsis thaliana Cell Cycle,SCF,0111000001110000001100000111000001110000011100000011000000110000,6,0.328125,4,0.0009539127349853516,0.0,0.0002541542053222656,4.57763671875e-05,0.0004184246063232422,1.87109375,"[[['222122', [], []], ['210202', [], []], ['112202', [], []], ['222200', [], []]], [['202021', [], []], ['021021', [], []], ['222012', [], []]]]",True,False,2.974218022122612e-05,0.0,0.3118489583333333,cc,new
49,Arabidopsis thaliana Cell Cycle,E2Fc,0101111101001100010101010100010001011111010111110101010101010101,6,0.546875,6,0.0008461475372314453,0.703125,0.00039424896240234373,5.316734313964844e-05,0.004425048828125,2.2630208333333335,"[[['021212', [], []], ['212220', [], []], ['222020', [], []]], [['102122', [], []], ['122221', [], []], ['220221', [[2, 4]], []], ['200122', [[2, 4]], []]]]",True,False,4.098986069433203e-05,0.1171875,0.3771701388888889,cc,new
50,Arabidopsis thaliana Cell Cycle,APC/C,01110101000000001111111100000000,5,0.40625,3,0.00031280517578125,0.65625,0.0003491878509521484,4.863739013671875e-05,0.001775979995727539,1.7708333333333335,"[[['02120', [], []], ['02200', [], []], ['21222', [], []]], [['10222', [[0, 4]], []], ['20012', [], []]]]",True,False,6.386247144329587e-05,0.13125,0.3541666666666667,cc,new
51,Arabidopsis thaliana Cell Cycle,MYB3R1/4,0001000011111111,4,0.5625,3,0.0002911090850830078,0.5625,0.00027980804443359373,1.7404556274414062e-05,0.0006134510040283203,1.625,"[[['0202', [[2, 3]], []], ['0122', [], []]], [['2011', [], []], ['1222', [], []]]]",True,False,1.7514015261882316e-05,0.140625,0.40625,cc,new
52,Arabidopsis thaliana Cell Cycle,CYCA2;3,01001100,3,0.375,2,5.626678466796875e-05,0.75,0.00028810501098632815,1.2636184692382812e-05,0.00030159950256347656,1.5625,"[[['212', [], []], ['020', [], []]], [['102', [[0, 2]], []]]]",True,False,1.8049152534898838e-05,0.25,0.5208333333333334,cc,new
53,Arabidopsis thaliana Cell Cycle,E2Fb,0100,2,0.25,2,6.031990051269531e-05,0.0,0.00019683837890625,1.2159347534179688e-05,0.0001049041748046875,1.25,"[[['20', [], []], ['12', [], []]], [['01', [], []]]]",True,False,1.7354907459062748e-05,0.0,0.625,cc,new
54,Arabidopsis thaliana Cell Cycle,CDKB1;1,01110011011100110011001101110011011100110111001100110011001100111111111111111111111111111111111111111111111111111111111111111111,7,0.7890625,4,0.003461122512817383,1.375,0.0003300189971923828,8.511543273925781e-05,0.00664067268371582,1.699869791666667,"[[['0222200', [], []], ['0210202', [], []], ['0112202', [], []], ['0222102', [], []]], [['2202021', [], []], ['1222222', [[0, 5]], []], ['2021021', [], []]]]",True,False,3.6510720918218725e-05,0.19642857142857142,0.2428385416666667,cc,new
55,Aurora Kinase A in Neuroblastoma,PP2A,0100,2,0.25,2,4.2438507080078125e-05,0.0,0.0001883983612060547,1.0013580322265625e-05,5.555152893066406e-05,1.25,"[[['20', [], []], ['12', [], []]], [['01', [], []]]]",True,False,5.6003504167721e-06,0.0,0.625,cc,new
56,Aurora Kinase A in Neuroblastoma,STMN,10,1,0.5,1,2.4557113647460938e-05,0.0,0.0001780986785888672,8.58306884765625e-06,4.38690185546875e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,9.099972120639992e-06,0.0,1.0,cc,new
57,Aurora Kinase A in Neuroblastoma,CDC25B,00101010,3,0.375,2,6.389617919921875e-05,0.75,0.00029015541076660156,2.2411346435546875e-05,0.0005757808685302734,1.5625,"[[['221', [], []], ['002', [], []]], [['120', [[0, 1]], []]]]",True,False,2.106843347760525e-05,0.25,0.5208333333333334,cc,new
58,Aurora Kinase A in Neuroblastoma,CentrosomeMat,0010,2,0.25,2,3.933906555175781e-05,0.0,0.00019135475158691407,9.5367431640625e-06,5.507469177246094e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,2.262520713597723e-05,0.0,0.625,cc,new
59,Aurora Kinase A in Neuroblastoma,PLK1,01010111111111110000001111111111,5,0.71875,4,0.0002963542938232422,0.5625,0.00031652450561523435,2.86102294921875e-05,0.001280069351196289,1.8958333333333335,"[[['20020', [[2, 3]], []], ['10022', [[2, 3]], []]], [['02221', [], []], ['21222', [], []], ['22112', [], []]]]",True,False,1.28247035781969e-05,0.1125,0.3791666666666667,cc,new
60,Aurora Kinase A in Neuroblastoma,CDK1CCNBComplex,1000110011001100,4,0.4375,3,0.00011944770812988281,0.5625,0.00030388832092285154,1.7642974853515625e-05,0.0005719661712646484,1.625,"[[['2212', [], []], ['0021', [], []]], [['2200', [], []], ['1202', [[0, 1]], []]]]",True,False,1.328708260058061e-05,0.140625,0.40625,cc,new
61,Aurora Kinase A in Neuroblastoma,hCPEB,01,1,0.5,1,3.910064697265625e-05,0.0,0.00017156600952148438,1.1205673217773438e-05,5.936622619628906e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,7.68965526117829e-06,0.0,1.0,cc,new
62,Aurora Kinase A in Neuroblastoma,TPX2,01,1,0.5,1,2.6464462280273438e-05,0.0,0.0001896381378173828,8.106231689453125e-06,4.506111145019531e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.1846884607528235e-05,0.0,1.0,cc,new
63,Aurora Kinase A in Neuroblastoma,AURKAActive,00000001000000010001000100010001000000010000000000010001000000000011001100110011001100110011001100110011000000000011001100000000,7,0.2578125,6,0.003205537796020508,0.7265625,0.0005285739898681641,0.00027942657470703125,0.00986027717590332,2.065104166666668,"[[['2121222', [], []], ['0202022', [], []], ['2222202', [], []], ['0222220', [], []]], [['1022212', [[1, 3]], []], ['2012211', [[1, 3], [2, 4]], []]]]",True,False,7.91447701836202e-05,0.10379464285714286,0.2950148809523811,cc,new
64,Aurora Kinase A in Neuroblastoma,NEDD9,01,1,0.5,1,2.3603439331054688e-05,0.0,0.0001648426055908203,9.059906005859375e-06,5.14984130859375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.5796629825754907e-05,0.0,1.0,cc,new
65,Aurora Kinase A in Neuroblastoma,ENSA,01,1,0.5,1,2.4557113647460938e-05,0.0,0.0001807689666748047,8.344650268554688e-06,4.649162292480469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,2.2539523020459664e-05,0.0,1.0,cc,new
66,Aurora Kinase A in Neuroblastoma,Cytokinesis,0100,2,0.25,2,4.601478576660156e-05,0.0,0.0001922607421875,9.059906005859375e-06,5.555152893066406e-05,1.25,"[[['20', [], []], ['12', [], []]], [['01', [], []]]]",True,False,1.2157570952234966e-05,0.0,0.625,cc,new
67,Aurora Kinase A in Neuroblastoma,PP1,10000000,3,0.125,3,6.008148193359375e-05,2.625,0.00034737586975097656,3.24249267578125e-05,0.0012629032135009766,1.25,"[[['122', [[0, 1, 2]], []]], [['000', [], []]]]",True,False,3.1273029757028246e-05,0.875,0.4166666666666667,cc,new
68,Aurora Kinase A in Neuroblastoma,MT,10,1,0.5,1,2.47955322265625e-05,0.0,0.00017805099487304686,8.106231689453125e-06,4.482269287109375e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,9.94339826365891e-06,0.0,1.0,cc,new
69,Aurora Kinase A in Neuroblastoma,SpindleAssembly,0010,2,0.25,2,5.3882598876953125e-05,0.0,0.00020432472229003906,1.0728836059570312e-05,6.532669067382812e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,1.1961866658528924e-05,0.0,0.625,cc,new
70,Aurora Kinase A in Neuroblastoma,WEE1,10,1,0.5,1,4.935264587402344e-05,0.0,0.0001765727996826172,8.58306884765625e-06,4.601478576660156e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,1.9968377993161544e-05,0.0,1.0,cc,new
71,Aurora Kinase A in Neuroblastoma,BORA,01010100,3,0.375,2,5.817413330078125e-05,0.75,0.0003208160400390625,1.2636184692382812e-05,0.0003018379211425781,1.5625,"[[['220', [], []], ['112', [], []]], [['021', [[0, 1]], []]]]",True,False,5.339716092744175e-05,0.25,0.5208333333333334,cc,new
72,Aurora Kinase A in Neuroblastoma,AURKAPresent,10,1,0.5,1,3.0279159545898438e-05,0.0,0.00019478797912597656,8.58306884765625e-06,4.410743713378906e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,2.7931832960770085e-05,0.0,1.0,cc,new
73,Aurora Kinase A in Neuroblastoma,GWL_MASTL,0100,2,0.25,2,3.933906555175781e-05,0.0,0.00019502639770507812,1.0013580322265625e-05,5.53131103515625e-05,1.25,"[[['20', [], []], ['12', [], []]], [['01', [], []]]]",True,False,1.2504594219818198e-05,0.0,0.625,cc,new
74,Aurora Kinase A in Neuroblastoma,AJUBA,01,1,0.5,1,3.147125244140625e-05,0.0,0.00017642974853515625,1.239776611328125e-05,6.031990051269531e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.005889087187242e-05,0.0,1.0,cc,new
75,Aurora Kinase A in Neuroblastoma,GSK3B,01,1,0.5,1,2.7894973754882812e-05,0.0,0.00017161369323730468,9.5367431640625e-06,4.863739013671875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.0162785953336503e-05,0.0,1.0,cc,new
